7552,25.159168,Fun with Dick and Jane
616,52.341226,The Last Samurai
147441,101.599427,Exodus: Gods and Kings
13475,73.616808,Star Trek
557,82.502566,Spider-Man
82702,100.21391,How to Train Your Dragon 2
205584,56.257249,Gods of Egypt
10048,17.88953,Stealth
13183,64.798873,Watchmen
944,24.855701,Lethal Weapon 4
1927,34.981698,Hulk
72559,59.325589,G;I; Joe: Retaliation
7364,21.605568,Sahara
2114,26.074908,Final Fantasy: The Spirits Within
1771,74.506246,Captain America: The First Avenger
36643,39.604363,The World Is Not Enough
8619,36.973031,Master and Commander: The Far Side of the World
50620,99.687084,The Twilight Saga: Breaking Dawn - Part 2
65759,17.7735,Happy Feet Two
1724,62.898336,The Incredible Hulk
267935,44.19092,The BFG
281957,100.635882,The Revenant
77950,44.765377,Turbo
44896,29.91353,Rango
270946,84.366984,Penguins of Madagascar
2503,45.381501,The Bourne Ultimatum
9502,84.689648,Kung Fu Panda
102899,120.09361,Ant-Man
101299,76.310119,The Hunger Games: Catching Fire
228161,63.473086,Home
74,48.572726,War of the Worlds
8961,38.068736,Bad Boys II
417859,20.678787,Puss in Boots
27576,48.829437,Salt
86834,46.115758,Noah
17578,89.938296,The Adventures of Tintin
673,79.679601,Harry Potter and the Prisoner of Azkaban
6972,28.840997,Australia
82700,42.840582,After Earth
10567,26.548594,Dinosaur
181533,115.597753,Night at the Museum: Secret of the Tomb
38055,68.757242,Megamind
671,109.984351,Harry Potter and the Philosopher's Stone
49524,39.448066,R;I;P;D;
22,271.972889,Pirates of the Caribbean: The Curse of the Black Pearl
131631,206.227151,The Hunger Games: Mockingjay - Part 1
591,45.313197,The Da Vinci Code
172385,42.40024,Rio 2
36658,2.871739,X2
51497,7.255718,Fast Five
58574,81.499621,Sherlock Holmes: A Game of Shadows
18823,47.686442,Clash of the Titans
861,43.129703,Total Recall
1911,27.220157,The 13th Warrior
49040,90.33681,The Bourne Legacy
415,50.073575,Batman & Robin
8871,45.419668,How the Grinch Stole Christmas
435,41.380094,The Day After Tomorrow
955,54.931334,Mission: Impossible II
2133,25.752118,The Perfect Storm
1979,60.810723,Fantastic 4: Rise of the Silver Surfer
87827,51.328145,Life of Pi
1250,46.834704,Ghost Rider
324668,62.641286,Jason Bourne
9471,33.616115,Charlie's Angels: Full Throttle
70981,68.889395,Prometheus
10996,27.990284,Stuart Little 2
68724,67.33767,Elysium
2789,27.835436,The Chronicles of Riddick
97020,66.757869,RoboCop
7459,17.060695,Speed Racer
42888,11.137655,How Do You Know
37834,44.906918,Knight and Day
75612,67.698004,Oblivion
1895,44.108427,Star Wars: Episode III - Revenge of the Sith
1894,43.987061,Star Wars: Episode II - Attack of the Clones
585,106.815545,"Monsters, Inc;"
76170,15.953444,The Wolverine
1893,54.035265,Star Wars: Episode I - The Phantom Menace
49519,64.183321,The Croods
2395,20.344364,Asterix at the Olympic Games
12100,18.714197,Windtalkers
290595,60.467984,The Huntsman: Winter's War
98566,143.350376,Teenage Mutant Ninja Turtles
49047,110.153618,Gravity
9619,16.90444,Dante's Peak
308531,39.873791,Teenage Mutant Ninja Turtles: Out of the Shadows
166424,38.126095,Fantastic Four
1593,48.780039,Night at the Museum
254128,100.412364,San Andreas
714,42.887121,Tomorrow Never Dies
2024,23.657284,The Patriot
163,76.840712,Ocean's Twelve
787,44.635452,Mr; & Mrs; Smith
262500,103.718387,Insurgent
2567,45.616098,The Aviator
38745,22.845143,Gulliver's Travels
40805,31.703608,The Green Hornet
53182,71.510596,300: Rise of an Empire
41513,36.65422,The Smurfs
13700,19.625972,Home on the Range
262504,86.105615,Allegiant
39254,37.195046,Real Steel
77931,32.473628,The Smurfs 2
1639,23.336875,Speed 2: Cruise Control
80274,45.94834,Ender's Game
1571,48.93337,Live Free or Die Hard
120,138.049577,The Lord of the Rings: The Fellowship of the Ring
10204,22.643776,Around the World in 80 Days
8489,18.866672,Ali
10588,18.251129,The Cat in the Hat
2048,95.914473,"I, Robot"
1495,44.490453,Kingdom of Heaven
10137,30.475297,Stuart Little
10198,62.479574,The Princess and the Frog
286217,167.93287,The Martian
1635,37.68056,The Island
24113,1.004579,Town & Country
9679,52.995628,Gone in Sixty Seconds
98,95.301296,Gladiator
180,65.948959,Minority Report
672,132.397737,Harry Potter and the Chamber of Secrets
36557,88.935165,Casino Royale
869,51.188633,Planet of the Apes
280,101.74155,Terminator 2: Judgment Day
11322,33.691694,Public Enemies
4982,42.361215,American Gangster
36955,38.729418,True Lies
18487,40.597856,The Taking of Pelham 1 2 3
39451,32.389353,Little Fockers
27581,24.399642,The Other Guys
9268,24.507987,Eraser
68718,82.121691,Django Unchained
10545,46.727941,The Hunchback of Notre Dame
11688,51.113717,The Emperor's New Groove
76163,53.732892,The Expendables 2
2059,58.849256,National Treasure
2486,30.863434,Eragon
16523,31.586215,Where the Wild Things Are
116711,36.711378,Epic
37710,41.426678,The Tourist
9946,20.652943,End of Days
1372,52.792678,Blood Diamond
106646,95.007934,The Wolf of Wall Street
414,48.205606,Batman Forever
563,58.782359,Starship Troopers
83542,73.872343,Cloud Atlas
41216,37.321848,Legend of the Guardians: The Owls of Ga'Hoole
314,32.271938,Catwoman
184315,76.842247,Hercules
9016,38.924136,Treasure Planet
18162,19.38841,Land of the Lost
138103,61.025639,The Expendables 3
257088,33.507289,Point Break
10214,17.815595,Son of the Mask
205775,50.767332,In the Heart of the Sea
11692,12.092241,The Adventures of Pluto Nash
22972,30.254021,Green Zone
227973,34.308098,The Peanuts Movie
29193,3.091077,The Spanish Prisoner
1734,41.862983,The Mummy Returns
3131,46.160048,Gangs of New York
76758,12.516546,The Flowers of War
9408,23.230851,Surf's Up
9890,19.224754,The Stepford Wives
855,44.455166,Black Hawk Down
77953,16.460356,The Campaign
18,109.528572,The Fifth Element
37786,18.325897,Sex and the City 2
10501,37.054554,The Road to El Dorado
57800,65.229868,Ice Age: Continental Drift
150689,101.187052,Cinderella
7980,29.257137,The Lovely Bones
12,85.688789,Finding Nemo
122,123.630332,The Lord of the Rings: The Return of the King
121,106.914973,The Lord of the Rings: The Two Towers
68737,63.628459,Seventh Son
1995,41.498631,Lara Croft: Tomb Raider
157353,58.991388,Transcendence
331,1.859364,Jurassic Park III
61791,138.433168,Rise of the Planet of the Apes
8204,21.436682,The Spiderwick Chronicles
47964,65.402595,A Good Day to Die Hard
10733,10.660441,The Alamo
9806,77.817571,The Incredibles
1408,7.029308,Cutthroat Island
32657,61.121717,Percy Jackson & the Olympians: The Lightning Thief
607,104.121555,Men in Black
863,73.575118,Toy Story 2
44048,37.698465,Unstoppable
5175,35.814765,Rush Hour 2
2655,15.835672,What Lies Beneath
22794,46.781182,Cloudy with a Chance of Meatballs
8355,69.457898,Ice Age: Dawn of the Dinosaurs
116745,43.348022,The Secret Life of Walter Mitty
4327,40.20395,Charlie's Angels
1422,63.429157,The Departed
10674,67.427755,Mulan
7446,43.192048,Tropic Thunder
65754,47.651083,The Girl with the Dragon Tattoo
1572,51.881077,Die Hard: With a Vengeance
10528,57.834787,Sherlock Holmes
271969,29.608322,Ben-Hur
10865,51.548589,Atlantis: The Lost Empire
258509,27.867368,Alvin and the Chipmunks: The Road Chip
2253,38.832842,Valkyrie
10661,40.597344,You Don't Mess with the Zohan
257344,140.849495,Pixels
644,34.035114,A;I; Artificial Intelligence
10756,16.302378,The Haunted Mansion
686,55.249434,Contact
9383,28.200874,Hollow Man
179,18.69984,The Interpreter
76285,40.262261,Percy Jackson: Sea of Monsters
1996,56.811056,Lara Croft Tomb Raider: The Cradle of Life
291805,51.535701,Now You See Me 2
10003,20.913852,The Saint
1535,27.166757,Spy Game
2067,16.058284,Mission to Mars
46195,46.200042,Rio
2277,24.939295,Bicentennial Man
10357,19.836124,Volcano
4477,15.350451,The Devil's Own
8665,15.625949,K-19: The Widowmaker
9387,31.802807,Conan the Barbarian
921,24.100863,Cinderella Man
49852,3.593349,The Nutcracker: The Untold Story
4464,14.824166,Seabiscuit
664,32.079995,Twister
8358,57.739713,Cast Away
9836,37.272385,Happy Feet
2502,53.213931,The Bourne Supremacy
9772,36.38795,Air Force One
161,60.929352,Ocean's Eleven
52451,36.605246,The Three Musketeers
76492,56.257411,Hotel Transylvania
4523,29.21998,Enchanted
59961,34.773106,Safe House
10481,9.895061,102 Dalmatians
59108,36.743324,Tower Heist
1581,44.967453,The Holiday
9798,41.207568,Enemy of the State
22897,16.479851,It's Complicated
298,42.069993,Ocean's Thirteen
7484,26.61951,Open Season
157350,80.316463,Divergent
853,41.273567,Enemy at the Gates
10159,24.107835,The Rundown
9593,32.044191,Last Action Hero
1904,16.595874,Memoirs of a Geisha
9615,8.282876,The Fast and the Furious: Tokyo Drift
51052,19.83683,Arthur Christmas
297,36.069611,Meet Joe Black
9884,18.827753,Collateral Damage
16858,5.159407,All That Jazz
62764,48.126297,Mirror Mirror
22538,38.885195,Scott Pilgrim vs; the World
9341,29.211255,The Core
12107,17.783361,Nutty Professor II: The Klumps
9637,31.435539,Scooby-Doo
49049,57.673932,Dredd
9339,41.176631,Click
16281,13.661289,Creepshow
39691,11.77398,Cats & Dogs 2 : The Revenge of Kitty Galore
8247,21.218,Jumper
11253,58.57976,Hellboy II: The Golden Army
1949,51.970905,Zodiac
8452,18.447479,The 6th Day
