11922,28,12500,1
11922,18,6250,2
11922,22,3750,3
11922,106,2500,4
11921,3,12500,1
11921,4,6250,2
11921,22,3750,3
11921,14,2500,4
11921,36,500,5
11921,168,500,6
11921,23,500,7
11921,10,500,8
1915,11,37701,1
1915,6,15080,2
1915,78,7540,3
1915,26,7540,4
1915,58,3770,5
1915,111,3770,6
1850,645,3039,4
1850,58,3039,3
1850,72,6079,2
1850,26,10637,1
1801,38,3046,4
1801,146,3046,3
1801,34,6093,2
1801,6,10663,1
1682,10,3565,4
1682,53,3565,3
1682,152,7129,2
1682,58,14258,1
1658,30,2988,4
1658,208,2988,3
1658,19,5975,2
1658,139,10457,1
2051,36,15904,1
2035,65,2023,4
2035,12,3890,3
2035,70,7781,2
2035,129,15561,1
2031,4,15066,1
11930,4,1429,8
11930,192,1429,7
11930,26,1429,6
11930,159,1429,5
11930,140,5001,4
11930,208,5001,3
11930,126,12859,2
11930,11,28575,1
2056,192,14242,1
2056,58,4273,2
11923,2,16000,1
11923,3,7000,2
11923,24,3000,3
11923,64,1500,4
11923,56,700,5
11923,39,700,6
11923,16,700,7
11923,165,700,8
11923,83,350,9
11923,25,350,10
11923,162,350,11
11923,6,350,12
11923,41,350,13
11923,17,350,14
11923,52,350,15
11923,184,350,16
11923,139,150,17
11923,58,150,18
11923,128,150,19
11923,200,150,20
11923,26,150,21
11923,118,150,22
11923,96,150,23
11923,183,150,24
11923,53,150,25
11923,103,150,26
11923,208,150,27
11923,179,150,28
11923,115,150,29
11923,153,150,30
11923,15,150,31
11923,89,150,32
1213,139,15000,1
1213,89,7000,2
1213,41,3000,3
1213,83,1500,4
1213,36,700,5
1213,187,700,6
1213,124,700,7
1213,265,700,8
1213,316,350,9
1213,164,350,10
1213,261,350,11
1213,93,350,12
1213,27,350,13
1213,151,350,14
1213,193,350,15
1213,172,150,17
1213,223,150,18
1213,325,150,19
1213,242,150,20
1213,13,150,21
1213,43,150,22
1213,123,150,23
1213,262,150,24
1213,156,150,25
1213,140,150,26
1213,271,150,27
1213,129,150,28
1213,22,150,29
1213,208,150,30
1213,155,150,31
5058,10,5000,1
5058,19,3000,2
5058,61,1500,3
5058,144,500,4
5072,10,7500,1
5072,12,4000,2
5072,142,2500,3
5072,8,1000,4
7777,26,1300,1
7777,34,900,2
7777,149,600,3
5164,144,263,3
5164,41,657,2
5164,10,394,1
3409,50,1000,1
3409,10,500,2
3409,41,300,3
11086,228,132,4
11086,103,330,3
11086,192,659,2
11086,153,989,1
5235,139,4000,1
5235,103,2000,2
5235,41,1000,3
5235,123,1000,4
5235,140,700,5
5235,50,700,6
5235,208,300,7
5235,58,300,8
11932,6,13000,1
11932,36,6500,2
11932,34,4000,3
11932,70,2500,4
11932,58,1000,5
11932,75,1000,6
11932,11,1000,7
11932,38,1000,8
5233,19,10000,1
5233,10,6000,2
5233,126,3000,3
5233,67,1000,4
15022,103,1000,3
15022,200,3000,2
15022,155,6000,1
5278,131,1422,4
5278,10,2844,3
5278,58,5687,2
5278,152,11375,1
5277,163,203,4
5277,187,677,3
5277,151,1827,2
5277,208,4060,1
11907,14,10000,1
11907,4,6000,2
11907,129,3600,3
11907,82,2200,4
11907,5,1400,5
11907,8,1400,6
11907,89,900,7
11907,57,900,8
2320,14,25000,1
2320,4,15000,2
2320,42,9000,3
2320,129,5500,4
2320,5,3500,5
2320,57,3500,6
2320,8,2250,7
2320,89,2250,8
2320,36,1500,9
2320,106,1500,10
2320,163,1500,11
2320,46,1500,12
2320,38,1000,13
2320,208,1000,14
