1649,21,"2012-11-20",
520,21,"2012-11-20",
416,21,"2012-11-20",
445,21,"2012-11-20",
83,22,"2010-03-24",
258,22,"2011-11-06",
228,22,"2012-06-27","2013-05-30"
58,22,"2010-03-24",
36,23,"2012-01-13",
227,24,"2011-08-14","2013-01-13"
162,24,"2010-12-11","2013-02-09"
270,24,"2011-06-15","2013-01-01"
163,24,"2010-11-11",
152,25,"2010-07-24","2013-01-15"
72,26,"2012-02-11",
26,26,"2011-07-19",
28,26,"2012-11-21",
182,26,"2011-07-19",
23,26,"2012-06-21",
994,26,"2012-11-21",
196,27,"2012-09-30",
488,27,"2011-09-05",
290,27,"2011-01-10",
135,27,"2012-09-01","2013-04-23"
159,27,"2010-12-25",
292,27,"2011-11-20","2013-04-25"
78,28,"2012-10-20",
158,28,"2012-07-02","2013-06-20"
508,29,"2012-02-23","2013-05-30"
50,29,"2012-01-01","2013-05-30"
52,29,"2012-01-01","2013-05-30"
226,30,"2010-02-26","2013-07-16"
118,30,"2011-01-10","2013-06-28"
131,30,"2012-07-11","2013-07-16"
95,30,"2011-03-31",
41,30,"2010-02-14",
452,30,"2012-05-09","2013-01-08"
241,31,"2011-02-02","2012-07-03"
53,31,"2011-02-17",
97,31,"2011-06-10",
252,31,"2010-12-16",
60,31,"2011-01-23",
420,32,"2012-01-07","2012-12-31"
88,32,"2012-08-25",
237,32,"2011-11-30","2012-12-31"
183,33,"2010-12-12","2011-09-05"
189,33,"2008-12-30",
273,33,"2011-11-11",
165,33,"2012-07-29","2013-03-08"
169,33,"2008-11-03","2013-01-21"
210,33,"2012-11-19",
106,34,"2012-02-01","2013-02-11"
214,34,"2012-07-02",
94,34,"2012-06-28","2013-01-16"
192,34,"2012-07-18",
140,34,"2011-05-08",
82,34,"2012-05-06","2013-02-11"
481,34,"2012-01-12","2013-01-16"
142,35,"2010-12-19",
85,35,"2012-11-17","2013-05-17"
35,35,"2011-01-01",
111,36,"2010-10-17","2012-12-31"
1625,36,"2011-05-22",
401,36,"2010-10-20",
213,37,"2012-12-21","2013-02-02"
167,37,"2011-09-22","2013-02-02"
127,37,"2011-06-15","2013-02-02"
209,37,"2011-06-15","2013-02-02"
532,37,"2012-08-24","2013-02-02"
462,37,"2011-06-15","2013-02-02"
686,37,"2011-06-15","2013-02-02"
42,38,"2012-02-17","2013-01-10"
243,38,"2010-08-15","2010-10-16"
261,38,"2011-12-01",
975,38,"2011-02-07",
496,38,"2010-10-02",
334,38,"2011-06-28",
295,39,"2012-05-15",
266,38,"2011-06-12","2011-07-03"
282,39,"2012-05-15",
384,39,"2010-03-22","2013-09-09"
170,39,"2012-05-15",
317,39,"2010-06-13",
184,39,"2010-04-18","2011-01-02"
635,39,"2010-05-22",
235,39,"2012-05-15",
366,39,"2012-12-14","2013-08-01"
180,39,"2010-03-23","2010-04-02"
221,39,"2010-03-28",
121,40,"2011-01-04",
129,40,"2011-08-16",
155,40,"2010-09-07","2013-05-09"
358,40,"2010-05-22",
73,40,"2012-12-06",
46,40,"2011-12-30",
572,40,"2010-05-01","2013-02-05"
364,40,"2010-03-22",
126,40,"2011-07-20","2013-03-15"
90,40,"2012-12-10",
10,40,"2012-09-10","2013-08-06"
107,40,"2012-07-25",
139,40,"2012-05-18",
160,41,"2011-08-02",
145,41,"2011-08-02",
285,41,"2012-01-14",
249,41,"2011-11-10",
184,14,"2013-01-02","2013-06-17"
27,43,"2011-08-14",
1105,43,"2011-05-16","2013-09-11"
144,44,"2010-07-25",
193,45,"2011-05-03",
96,45,"2012-05-01","2013-03-17"
185,46,"2012-08-05","2013-03-08"
272,46,"2012-01-07","2013-03-08"
360,48,"2012-05-02","2013-06-20"
148,48,"2012-11-20",
130,48,"2012-08-30",
392,48,"2012-02-03",
349,48,"2012-06-19",
336,48,"2012-01-31",
294,49,"2010-10-19",
773,51,"2012-02-12",
663,51,"2012-05-30",
119,51,"2012-03-08",
281,51,"2012-08-16",
1458,52,"2012-03-14","2013-02-14"
568,64,"2013-02-04",
298,53,"2010-10-14",
1653,53,"2010-09-17","2013-08-01"
709,53,"2010-08-28",
244,55,"2012-03-12",
256,55,"2010-09-03",
653,55,"2012-09-12",
242,56,"2010-10-14",
217,56,"2012-06-01",
339,57,"2012-10-30",
1160,57,"2012-10-15","2013-07-21"
668,57,"2013-02-20",
677,57,"2012-12-04","2013-08-20"
551,57,"2012-11-23",
262,22,"2010-04-19","2010-07-02"
409,59,"2010-05-25",
265,59,"2012-04-02",
188,59,"2012-06-27","2012-11-11"
324,60,"2010-08-01",
474,60,"2010-08-25",
351,60,"2010-07-26",
375,60,"2010-09-18",
251,39,"2010-04-12",
311,46,"2012-12-14","2013-03-08"
568,46,"2012-08-06","2013-02-04"
86,47,"2011-02-08","2012-10-17"
77,47,"2011-04-11","2012-11-03"
994,47,"2010-12-19","2012-11-03"
43,47,"2012-07-26","2012-11-03"
85,47,"2011-01-01","2012-11-03"
28,47,"2011-02-13","2012-11-03"
35,47,"2011-01-29","2012-11-03"
98,47,"2011-02-05","2012-11-03"
542,6,"2012-12-31","2013-07-23"
434,18,"2012-10-04","2012-12-17"
262,18,"2010-07-02","2012-09-20"
271,18,"2010-03-29","2012-08-07"
129,18,"2010-09-25","2011-08-16"
129,19,"2010-06-17","2010-09-25"
1274,47,"2012-03-25","2012-11-03"
215,47,"2012-03-25","2012-11-03"
1346,47,"2012-03-25","2012-11-03"
76,47,"2012-03-25","2012-11-03"
33,47,"2011-08-30","2012-11-03"
120,47,"2011-01-10","2012-11-03"
25,47,"2011-08-17","2012-11-03"
124,47,"2010-12-18","2012-08-15"
122,47,"2011-11-28","2012-07-26"
142,47,"2011-09-24","2012-07-17"
57,47,"2011-02-15","2012-03-13"
6,47,"2011-05-01","2012-03-13"
322,47,"2010-12-23","2012-01-16"
87,47,"2010-11-30","2012-01-16"
61,47,"2011-03-07","2011-10-30"
74,7,"2011-09-09","2012-10-24"
74,4,"2011-07-18","2011-09-09"
